country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","08-04-2025 11:00:00",12.7816279,77.6299145,NO2,NA,NA,NA
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","08-04-2025 11:00:00",12.7816279,77.6299145,NH3,NA,NA,NA
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","08-04-2025 11:00:00",12.7816279,77.6299145,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Kasturi Nagar, Bengaluru - KSPCB","08-04-2025 11:00:00",13.003872,77.664217,OZONE,28,29,29
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","08-04-2025 11:00:00",13.0270199,77.494094,PM2.5,16,74,44
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","08-04-2025 11:00:00",23.041137,72.456691,OZONE,2,40,4
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-04-2025 11:00:00",23.023389,72.515201,NO2,67,170,92
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-04-2025 11:00:00",23.023389,72.515201,CO,14,89,19
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","08-04-2025 11:00:00",23.023389,72.515201,OZONE,39,77,52
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","08-04-2025 11:00:00",23.076793,72.627874,NO2,7,72,27
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB","08-04-2025 11:00:00",22.969611,72.643500,NH3,1,13,4
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","08-04-2025 11:00:00",28.422681,77.148944,CO,20,62,43
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","08-04-2025 11:00:00",28.3153,76.9143,OZONE,71,301,281
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","08-04-2025 11:00:00",21.613267,73.010555,CO,12,106,46
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","08-04-2025 11:00:00",23.243639,72.68994,NO2,23,131,66
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","08-04-2025 11:00:00",23.043070,72.562968,PM10,49,219,97
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","08-04-2025 11:00:00",23.043070,72.562968,NO2,14,80,34
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","08-04-2025 11:00:00",12.9135218,77.5950804,NO2,35,37,36
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","08-04-2025 11:00:00",23.016834,72.625775,SO2,4,131,60
India,Karnataka,Bengaluru,"Peenya, Bengaluru - CPCB","08-04-2025 11:00:00",13.0270199,77.494094,NO2,15,22,20
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","08-04-2025 11:00:00",12.921418,77.502466,CO,24,53,38
India,Karnataka,Bengaluru,"RVCE-Mailasandra, Bengaluru - KSPCB","08-04-2025 11:00:00",12.921418,77.502466,OZONE,20,22,21
India,Karnataka,Bengaluru,"Shivapura_Peenya, Bengaluru - KSPCB","08-04-2025 11:00:00",13.0246342,77.5080115,SO2,5,9,7
India,Karnataka,Bengaluru,"Silk Board, Bengaluru - KSPCB","08-04-2025 11:00:00",12.917348,77.622813,NO2,NA,NA,NA
